WKT,name,description
"LINESTRING (-101.874532 33.5837359, -101.8744686 33.583747)", Line 149,
"LINESTRING (-101.8744686 33.583747, -101.8743915 33.583768)", Line 150,
"LINESTRING (-101.8743915 33.583768, -101.8743033 33.583799)", Line 151,
"LINESTRING (-101.8743033 33.583799, -101.874246 33.5838225)", Line 152,
"LINESTRING (-101.874246 33.5838225, -101.8741816 33.5838579)", Line 153,
"LINESTRING (-101.8741816 33.5838579, -101.8741441 33.5838797)", Line 154,
"LINESTRING (-101.8741441 33.5838797, -101.8740914 33.5839157)", Line 155,
"LINESTRING (-101.8740914 33.5839157, -101.8740395 33.5839554)", Line 156,
"LINESTRING (-101.8740395 33.5839554, -101.8739952 33.5839987)", Line 157,
"LINESTRING (-101.8739952 33.5839987, -101.8739368 33.5840656)", Line 158,
"LINESTRING (-101.8739368 33.5840656, -101.8739298 33.5840736)", Line 159,
"LINESTRING (-101.8739298 33.5840736, -101.8738617 33.5841481)", Line 160,
"LINESTRING (-101.8738617 33.5841481, -101.8738018 33.5842054)", Line 161,
"LINESTRING (-101.8738018 33.5842054, -101.8737843 33.5842196)", Line 162,
"LINESTRING (-101.8737843 33.5842196, -101.8737599 33.5842316)", Line 163,
"LINESTRING (-101.8737599 33.5842316, -101.8737233 33.5842451)", Line 164,
"LINESTRING (-101.8737233 33.5842451, -101.8736992 33.5842512)", Line 165,
"LINESTRING (-101.8736992 33.5842512, -101.8736754 33.5842559)", Line 166,
"LINESTRING (-101.8736754 33.5842559, -101.8736475 33.5842571)", Line 167,
"LINESTRING (-101.8736475 33.5842571, -101.8736135 33.5842565)", Line 168,
"LINESTRING (-101.8736135 33.5842565, -101.8732988 33.5842557)", Line 169,
"LINESTRING (-101.8732988 33.5842557, -101.8732871 33.5842529)", Line 170,
"LINESTRING (-101.8732871 33.5842529, -101.8732792 33.5842469)", Line 171,
"LINESTRING (-101.8732792 33.5842469, -101.8732717 33.5842393)", Line 172,
"LINESTRING (-101.8732717 33.5842393, -101.8732683 33.5842298)", Line 173,
"LINESTRING (-101.8732683 33.5842298, -101.873269 33.5842191)", Line 174,
"LINESTRING (-101.873269 33.5842191, -101.8732941 33.5841528)", Line 175,
"LINESTRING (-101.8732941 33.5841528, -101.8733129 33.5841166)", Line 176,
"LINESTRING (-101.8733129 33.5841166, -101.8733388 33.5840795)", Line 177,
"LINESTRING (-101.8733388 33.5840795, -101.8736075 33.5837971)", Line 178,
"LINESTRING (-101.8736075 33.5837971, -101.873672 33.5837321)", Line 179,
"LINESTRING (-101.873672 33.5837321, -101.8737089 33.5836912)", Line 180,
"LINESTRING (-101.8737089 33.5836912, -101.8737478 33.583649)", Line 181,
"LINESTRING (-101.8737478 33.583649, -101.8737827 33.5836138)", Line 182,
"LINESTRING (-101.8737827 33.5836138, -101.8737984 33.5835979)", Line 183,
"LINESTRING (-101.8737984 33.5835979, -101.8738175 33.583568)", Line 184,
"LINESTRING (-101.8738175 33.583568, -101.873842 33.5835314)", Line 185,
"LINESTRING (-101.873842 33.5835314, -101.8738635 33.583492)", Line 186,
"LINESTRING (-101.8738635 33.583492, -101.8738812 33.5834599)", Line 187,
