WKT,name,description
"POINT (-101.8794033 33.5859533)", Start or End node Name 196 ,
"POINT (-101.8783461 33.5866976)", Start or End node Name 197 ,
"POINT (-101.8782670 33.5859708)", Start or End node Name 198 ,
"POINT (-101.8780818 33.5854010)", Start or End node Name 199 ,
"POINT (-101.8774133 33.5850691)", Start or End node Name 200 ,
"POINT (-101.8777324 33.5852276)", Start or End node Name 201 ,
"POINT (-101.8775477 33.5853092)", Start or End node Name 202 ,
"POINT (-101.8801120 33.5800625)", Start or End node Name 203 ,
"POINT (-101.8811410 33.5781743)", Start or End node Name 204 ,
"POINT (-101.8811946 33.5802248)", Start or End node Name 205 ,
"POINT (-101.8820217 33.5856740)", Start or End node Name 206 ,
"POINT (-101.8801936 33.5836096)", Start or End node Name 207 ,
"POINT (-101.8786832 33.5844362)", Start or End node Name 208 ,
"POINT (-101.8803327 33.5886930)", Start or End node Name 209 ,
"POINT (-101.8800945 33.5885279)", Start or End node Name 210 ,
"POINT (-101.8741580 33.5899867)", Start or End node Name 211 ,
"POINT (-101.8731925 33.5888187)", Start or End node Name 212 ,
"POINT (-101.8762086 33.5858704)", Start or End node Name 213 ,
"POINT (-101.8767842 33.5858738)", Start or End node Name 214 ,
"POINT (-101.8798816 33.5852041)", Start or End node Name 215 ,
"POINT (-101.8798819 33.5852736)", Start or End node Name 216 ,
"POINT (-101.8743475 33.5866833)", Start or End node Name 217 ,
"POINT (-101.8743437 33.5876059)", Start or End node Name 218 ,
"POINT (-101.8727293 33.5847935)", Start or End node Name 219 ,
"POINT (-101.8726076 33.5847923)", Start or End node Name 220 ,
"POINT (-101.8725974 33.5848975)", Start or End node Name 221 ,
"POINT (-101.8725022 33.5850334)", Start or End node Name 222 ,
"POINT (-101.8727062 33.5850722)", Start or End node Name 223 ,
"POINT (-101.8730855 33.5851219)", Start or End node Name 224 ,
"POINT (-101.8724419 33.5850335)", Start or End node Name 225 ,
"POINT (-101.8724422 33.5847954)", Start or End node Name 226 ,
"POINT (-101.8724418 33.5848300)", Start or End node Name 227 ,
"POINT (-101.8707716 33.5852800)", Start or End node Name 228 ,
"POINT (-101.8718338 33.5847860)", Start or End node Name 229 ,
"POINT (-101.8708034 33.5848404)", Start or End node Name 230 ,
"POINT (-101.8713724 33.5851288)", Start or End node Name 231 ,
"POINT (-101.8713624 33.5847168)", Start or End node Name 232 ,
"POINT (-101.8717824 33.5846944)", Start or End node Name 233 ,
"POINT (-101.8709558 33.5851283)", Start or End node Name 234 ,
"POINT (-101.8717824 33.5846944)", Start or End node Name 235 ,
"POINT (-101.8719117 33.5846936)", Start or End node Name 236 ,
"POINT (-101.8719128 33.5846041)", Start or End node Name 237 ,
"POINT (-101.8724353 33.5831318)", Start or End node Name 238 ,
"POINT (-101.8732941 33.5841528)", Start or End node Name 239 ,
"POINT (-101.8713407 33.5841615)", Start or End node Name 240 ,
"POINT (-101.8727020 33.5842646)", Start or End node Name 241 ,
"POINT (-101.8726974 33.5837530)", Start or End node Name 242 ,
"POINT (-101.8807256 33.5817983)", Start or End node Name 243 ,
"POINT (-101.8880898 33.5820785)", Start or End node Name 244 ,
"POINT (-101.8822600 33.5816482)", Start or End node Name 245 ,
"POINT (-101.8812135 33.5815494)", Start or End node Name 246 ,
"POINT (-101.8752360 33.5858704)", Start or End node Name 247 ,
"POINT (-101.8749614 33.5858012)", Start or End node Name 248 ,
"POINT (-101.8757902 33.5857900)", Start or End node Name 249 ,
"POINT (-101.8751557 33.5858063)", Start or End node Name 250 ,
"POINT (-101.8748456 33.5866859)", Start or End node Name 251 ,
"POINT (-101.8744867 33.5863517)", Start or End node Name 252 ,
"POINT (-101.8751287 33.5874740)", Start or End node Name 253 ,
"POINT (-101.8749339 33.5874747)", Start or End node Name 254 ,
"POINT (-101.8720059 33.5841595)", Start or End node Name 255 ,
"POINT (-101.8707693 33.5836226)", Start or End node Name 256 ,
"POINT (-101.8713390 33.5843009)", Start or End node Name 257 ,
"POINT (-101.8713383 33.5839042)", Start or End node Name 258 ,
"POINT (-101.8738469 33.5848010)", Start or End node Name 259 ,
"POINT (-101.8731108 33.5842432)", Start or End node Name 260 ,
"POINT (-101.8748679 33.5844357)", Start or End node Name 261 ,
"POINT (-101.8748679 33.5844357)", Start or End node Name 262 ,
"POINT (-101.8746250 33.5838468)", Start or End node Name 263 ,
"POINT (-101.8746250 33.5838468)", Start or End node Name 264 ,
"POINT (-101.8787488 33.5872188)", Start or End node Name 265 ,
"POINT (-101.8786609 33.5880844)", Start or End node Name 266 ,
"POINT (-101.8787792 33.5872187)", Start or End node Name 267 ,
"POINT (-101.8795229 33.5873359)", Start or End node Name 268 ,
"POINT (-101.8797477 33.5811021)", Start or End node Name 269 ,
"POINT (-101.8803954 33.5815246)", Start or End node Name 270 ,
"POINT (-101.8811720 33.5815271)", Start or End node Name 271 ,
"POINT (-101.8797532 33.5816869)", Start or End node Name 272 ,
"POINT (-101.8811320 33.5814896)", Start or End node Name 273 ,
