WKT,name,description
"LINESTRING (-101.8741909 33.5859168, -101.8741889 33.5857693, -101.8741949 33.5856498)", Line 50,
"LINESTRING (-101.8724418 33.5848300, -101.8725681 33.5849457, -101.8727062 33.5850722)", Line 51,
"LINESTRING (-101.8750245 33.5853640, -101.8750192 33.5853009)", Line 52,
"LINESTRING (-101.8718292 33.5851284, -101.8718060 33.5851495)", Line 53,
"LINESTRING (-101.8748223 33.5852998, -101.8746812 33.5854407, -101.8745351 33.5855753)", Line 54,
"LINESTRING (-101.8742238 33.5866838, -101.8743475 33.5866833, -101.8744888 33.5866837)", Line 55,
"LINESTRING (-101.8735700 33.5861073, -101.8736898 33.5861053, -101.8738349 33.5861028, -101.8740788 33.5861020, -101.8741882 33.5861017)", Line 56,
"LINESTRING (-101.8735700 33.5861073, -101.8737872 33.5859785, -101.8737996 33.5859715, -101.8738375 33.5859185, -101.8741909 33.5859168, -101.8743483 33.5859156, -101.8744355 33.5859156)", Line 57,
"LINESTRING (-101.8742801 33.5851398, -101.8743267 33.5850757, -101.8743544 33.5850330)", Line 58,
"LINESTRING (-101.8741879 33.5862670, -101.8743508 33.5862682)", Line 59,
"LINESTRING (-101.8752360 33.5858704, -101.8754308 33.5858686, -101.8755729 33.5858690, -101.8757823 33.5858695, -101.8762086 33.5858704)", Line 60,
"LINESTRING (-101.8751910 33.5853646, -101.8750245 33.5853640)", Line 61,
"LINESTRING (-101.8749483 33.5866866, -101.8750285 33.5866844)", Line 62,
"LINESTRING (-101.8748304 33.5855749, -101.8748287 33.5853295, -101.8748223 33.5852998)", Line 63,
"LINESTRING (-101.8749483 33.5866866, -101.8750211 33.5865816, -101.8751559 33.5864245, -101.8752792 33.5862803, -101.8753186 33.5862713)", Line 64,
"LINESTRING (-101.8744340 33.5853059, -101.8744249 33.5852728, -101.8744148 33.5852493, -101.8744001 33.5852247, -101.8743773 33.5851979, -101.8743458 33.5851739, -101.8742801 33.5851398)", Line 65,
"LINESTRING (-101.8751559 33.5864245, -101.8751429 33.5861639)", Line 66,
"LINESTRING (-101.8748223 33.5852998, -101.8748130 33.5852792, -101.8747879 33.5852487, -101.8747592 33.5852249, -101.8747207 33.5852154, -101.8746701 33.5852107, -101.8746308 33.5852195, -101.8746046 33.5852317, -101.8745788 33.5852531, -101.8745625 33.5852766, -101.8745492 33.5853016, -101.8745441 33.5853152, -101.8745361 33.5853583, -101.8745351 33.5855753)", Line 67,
"LINESTRING (-101.8754265 33.5860080, -101.8755166 33.5860805, -101.8755166 33.5861050, -101.8756748 33.5862212)", Line 68,
"LINESTRING (-101.8741949 33.5856498, -101.8741954 33.5855984, -101.8741959 33.5855504, -101.8741976 33.5852890, -101.8741974 33.5852086, -101.8741972 33.5851318, -101.8741984 33.5851003)", Line 69,
"LINESTRING (-101.8742801 33.5851398, -101.8742297 33.5851186, -101.8741984 33.5851003, -101.8741895 33.5850951, -101.8741593 33.5850750, -101.8741426 33.5850678, -101.8741131 33.5850672, -101.8740815 33.5850638, -101.8740561 33.5850510, -101.8740209 33.5850214, -101.8740062 33.5850091, -101.8739857 33.5849904, -101.8739397 33.5849429, -101.8739089 33.5849085, -101.8739012 33.5848999, -101.8738861 33.5848801, -101.8738666 33.5848496, -101.8738522 33.5848222, -101.8738469 33.5848010, -101.8738412 33.5847823, -101.8738351 33.5847664, -101.8738288 33.5847549, -101.8738187 33.5847412, -101.8738006 33.5847267, -101.8737872 33.5847175, -101.8737577 33.5847055, -101.8737319 33.5846985, -101.8737054 33.5846926, -101.8736789 33.5846887, -101.8736625 33.5846879, -101.8736484 33.5846910, -101.8736198 33.5846919, -101.8736192 33.5846462, -101.8736209 33.5846023)", Line 70,
"LINESTRING (-101.8715228 33.5856917, -101.8715174 33.5853610, -101.8714940 33.5853609)", Line 71,
"LINESTRING (-101.8723865 33.5850347, -101.8723409 33.5849878, -101.8723078 33.5849466, -101.8722838 33.5849008)", Line 72,
"LINESTRING (-101.8718338 33.5847860, -101.8718292 33.5851284)", Line 73,
"LINESTRING (-101.8739089 33.5849085, -101.8738939 33.5849208, -101.8736514 33.5851228)", Line 74,
"LINESTRING (-101.8740131 33.5847423, -101.8740103 33.5847433, -101.8739617 33.5847621, -101.8739515 33.5847660, -101.8738469 33.5848010, -101.8738028 33.5848399, -101.8736500 33.5848972, -101.8735236 33.5849568, -101.8734029 33.5850195, -101.8733230 33.5850685, -101.8732694 33.5851222)", Line 75,
"LINESTRING (-101.8748304 33.5855749, -101.8745351 33.5855753)", Line 76,
"LINESTRING (-101.8725974 33.5848975, -101.8726054 33.5848414, -101.8726076 33.5847923)", Line 77,
"LINESTRING (-101.8731750 33.5854577, -101.8731751 33.5855722, -101.8731725 33.5859132, -101.8731710 33.5861118, -101.8734963 33.5861081, -101.8735700 33.5861073)", Line 78,
"LINESTRING (-101.8758948 33.5858302, -101.8757902 33.5857900)", Line 79,
"LINESTRING (-101.8744296 33.5855761, -101.8743433 33.5855989, -101.8741954 33.5855984)", Line 80,
"LINESTRING (-101.8755729 33.5858690, -101.8754265 33.5860080)", Line 81,
"LINESTRING (-101.8743409 33.5865315, -101.8742104 33.5863039, -101.8741879 33.5862670, -101.8741882 33.5861017)", Line 82,
"LINESTRING (-101.8749556 33.5870844, -101.8750499 33.5870875, -101.8751586 33.5870882, -101.8752864 33.5870866)", Line 83,
"LINESTRING (-101.8745441 33.5853152, -101.8746812 33.5854407, -101.8748304 33.5855749)", Line 84,
"LINESTRING (-101.8724422 33.5847954, -101.8722670 33.5847919, -101.8721388 33.5847897, -101.8718338 33.5847860)", Line 85,
"LINESTRING (-101.8750192 33.5853009, -101.8749453 33.5853002, -101.8749266 33.5853001)", Line 86,
"LINESTRING (-101.8749614 33.5858012, -101.8749427 33.5858009)", Line 87,
"LINESTRING (-101.8748421 33.5857993, -101.8748192 33.5857774, -101.8745351 33.5855753)", Line 88,
"LINESTRING (-101.8751429 33.5861639, -101.8753186 33.5862713)", Line 89,
"LINESTRING (-101.8743481 33.5839115, -101.8743501 33.5841260, -101.8743527 33.5843384, -101.8743531 33.5846053, -101.8743544 33.5850330)", Line 90,
"LINESTRING (-101.8752696 33.5840790, -101.8752480 33.5840848, -101.8746853 33.5841113, -101.8743501 33.5841260, -101.8740481 33.5841388)", Line 91,
"LINESTRING (-101.8798305 33.5860320, -101.8795813 33.5860350, -101.8793281 33.5860380, -101.8793013 33.5860383)", Line 92,
"LINESTRING (-101.8798305 33.5860320, -101.8798303 33.5859525, -101.8795813 33.5859530, -101.8794033 33.5859533, -101.8793275 33.5859535, -101.8793075 33.5859535, -101.8792497 33.5859542, -101.8791725 33.5859550, -101.8791323 33.5859555, -101.8787790 33.5859574, -101.8787616 33.5859551, -101.8787281 33.5859516, -101.8786993 33.5859536, -101.8786852 33.5859578, -101.8786724 33.5859676, -101.8786650 33.5859750, -101.8786563 33.5859851, -101.8786477 33.5860002)", Line 93,
"LINESTRING (-101.8805192 33.5873343, -101.8804288 33.5873713, -101.8804063 33.5873774, -101.8802125 33.5873783, -101.8799963 33.5873793)", Line 94,
"LINESTRING (-101.8795229 33.5873359, -101.8793109 33.5872308, -101.8792536 33.5872174)", Line 95,
"LINESTRING (-101.8804493 33.5872280, -101.8802581 33.5872247, -101.8801215 33.5872223, -101.8801207 33.5872223, -101.8797934 33.5872226, -101.8794470 33.5872169, -101.8792857 33.5872173, -101.8792536 33.5872174, -101.8792233 33.5872175, -101.8787955 33.5872187, -101.8787792 33.5872187, -101.8787488 33.5872188)", Line 96,
"LINESTRING (-101.8787488 33.5872188, -101.8787433 33.5870884, -101.8787408 33.5870320, -101.8787385 33.5869591)", Line 97,
"LINESTRING (-101.8804951 33.5852715, -101.8803424 33.5852742, -101.8803399 33.5852736, -101.8801106 33.5852736, -101.8798819 33.5852736, -101.8797146 33.5852736, -101.8796817 33.5852754, -101.8794199 33.5854570, -101.8794213 33.5857681, -101.8794039 33.5857913, -101.8794033 33.5859533)", Line 98,
"LINESTRING (-101.8783461 33.5866976, -101.8783450 33.5866152, -101.8783424 33.5864218, -101.8783359 33.5863963, -101.8783183 33.5863555, -101.8782955 33.5863213, -101.8782792 33.5862979, -101.8782746 33.5862800, -101.8782751 33.5860959, -101.8782752 33.5860344, -101.8782733 33.5860196, -101.8782670 33.5859708)", Line 99,
"LINESTRING (-101.8780818 33.5854010, -101.8777324 33.5852276, -101.8776212 33.5851697, -101.8775482 33.5851344, -101.8774133 33.5850691)", Line 100,
"LINESTRING (-101.8777324 33.5852276, -101.8775477 33.5853092)", Line 101,
"LINESTRING (-101.8801120 33.5800625, -101.8802193 33.5800170, -101.8804124 33.5799287, -101.8804325 33.5799086, -101.8804724 33.5798510, -101.8805130 33.5797924, -101.8805237 33.5797611, -101.8805451 33.5797276, -101.8805572 33.5797086, -101.8805626 33.5796829, -101.8805589 33.5796561, -101.8805599 33.5796215, -101.8805706 33.5795745, -101.8805787 33.5795410, -101.8805934 33.5794449, -101.8806145 33.5793491, -101.8806323 33.5792684, -101.8806331 33.5792636, -101.8806484 33.5791947, -101.8806511 33.5791422, -101.8806498 33.5790047, -101.8806538 33.5789477, -101.8806677 33.5788950, -101.8807094 33.5788032, -101.8807159 33.5787888, -101.8807274 33.5787771, -101.8808272 33.5786759, -101.8809519 33.5785263, -101.8810431 33.5783240, -101.8810562 33.5783040, -101.8810855 33.5782591, -101.8811356 33.5781826, -101.8811410 33.5781743)", Line 102,
"LINESTRING (-101.8811946 33.5802248, -101.8811723 33.5803051, -101.8811538 33.5803717, -101.8811931 33.5804142, -101.8811995 33.5804718, -101.8811994 33.5804921, -101.8811992 33.5805293, -101.8811987 33.5806182, -101.8811985 33.5806449, -101.8811974 33.5808945, -101.8812141 33.5811202, -101.8812178 33.5812941, -101.8812317 33.5814219, -101.8812500 33.5815519, -101.8813014 33.5817910, -101.8813098 33.5818308, -101.8813162 33.5818651, -101.8813394 33.5819622, -101.8813451 33.5820032, -101.8813457 33.5820430, -101.8813351 33.5821458, -101.8813389 33.5822265, -101.8813427 33.5822546, -101.8813729 33.5824004, -101.8813769 33.5824346, -101.8813717 33.5824627, -101.8813572 33.5824947, -101.8813647 33.5824981, -101.8813964 33.5825601, -101.8814165 33.5826021, -101.8814185 33.5826443, -101.8814194 33.5826870, -101.8814702 33.5827160, -101.8814856 33.5827432, -101.8814970 33.5827853, -101.8814813 33.5828054, -101.8814462 33.5828393, -101.8814222 33.5828625, -101.8814553 33.5828965, -101.8814806 33.5829290, -101.8815020 33.5829938, -101.8815350 33.5831798, -101.8815914 33.5833081, -101.8816039 33.5833285, -101.8816381 33.5833842, -101.8816544 33.5834646, -101.8816787 33.5835807, -101.8816867 33.5836192, -101.8817354 33.5838476, -101.8818238 33.5842646, -101.8818639 33.5844582, -101.8819629 33.5849218, -101.8820072 33.5851459, -101.8820207 33.5852281, -101.8820149 33.5853328, -101.8820110 33.5853973, -101.8820168 33.5854472, -101.8820265 33.5855100, -101.8820149 33.5855407, -101.8819917 33.5855713, -101.8820048 33.5856161, -101.8820217 33.5856740)", Line 103,
"LINESTRING (-101.8801936 33.5836096, -101.8801773 33.5836725, -101.8801668 33.5837121, -101.8801285 33.5837247, -101.8800705 33.5837460, -101.8796607 33.5838853, -101.8794722 33.5839465, -101.8791695 33.5840449, -101.8789935 33.5840963, -101.8789272 33.5841262, -101.8788747 33.5841498, -101.8788001 33.5841834, -101.8786832 33.5844362)", Line 104,
"LINESTRING (-101.8803327 33.5886930, -101.8801467 33.5885641, -101.8800945 33.5885279)", Line 105,
"LINESTRING (-101.8741580 33.5899867, -101.8741507 33.5891556, -101.8741370 33.5891138, -101.8741265 33.5890818, -101.8740729 33.5890237, -101.8739596 33.5889663, -101.8739495 33.5889612, -101.8738100 33.5889098, -101.8736223 33.5888696, -101.8731925 33.5888187)", Line 106,
"LINESTRING (-101.8762086 33.5858704, -101.8765677 33.5858726, -101.8767674 33.5858738, -101.8767842 33.5858738)", Line 107,
"LINESTRING (-101.8798816 33.5852041, -101.8798819 33.5852736)", Line 108,
"LINESTRING (-101.8743475 33.5866833, -101.8743558 33.5870946, -101.8743554 33.5874856, -101.8743546 33.5875203, -101.8743567 33.5875586, -101.8743429 33.5875908, -101.8743437 33.5876059)", Line 109,
"LINESTRING (-101.8727293 33.5847935, -101.8726076 33.5847923)", Line 110,
"LINESTRING (-101.8725974 33.5848975, -101.8725681 33.5849457, -101.8725373 33.5849962, -101.8725022 33.5850334)", Line 111,
"LINESTRING (-101.8727062 33.5850722, -101.8727999 33.5851180, -101.8728331 33.5851257, -101.8730855 33.5851219)", Line 112,
"LINESTRING (-101.8724419 33.5850335, -101.8724418 33.5848300, -101.8724422 33.5847954)", Line 113,
"LINESTRING (-101.8724418 33.5848300, -101.8723078 33.5849466, -101.8722751 33.5849894, -101.8721714 33.5850707, -101.8720642 33.5851270, -101.8718292 33.5851284, -101.8716998 33.5851266, -101.8714335 33.5851283, -101.8713724 33.5851288, -101.8712851 33.5851316, -101.8710127 33.5851283, -101.8709558 33.5851283, -101.8709194 33.5851528, -101.8709030 33.5851638, -101.8707716 33.5852800)", Line 114,
"LINESTRING (-101.8718338 33.5847860, -101.8717222 33.5847862, -101.8716327 33.5847862, -101.8716091 33.5847817, -101.8715534 33.5847709, -101.8714356 33.5847422, -101.8713624 33.5847168, -101.8713391 33.5847033, -101.8712892 33.5846744, -101.8711883 33.5846034, -101.8711352 33.5845971, -101.8710745 33.5845907, -101.8708887 33.5845945, -101.8708547 33.5845960, -101.8708252 33.5846109, -101.8708153 33.5846199, -101.8708054 33.5846406, -101.8708048 33.5847054, -101.8708034 33.5848404)", Line 115,
"LINESTRING (-101.8713724 33.5851288, -101.8713714 33.5849073, -101.8713624 33.5847168)", Line 116,
"LINESTRING (-101.8717824 33.5846944, -101.8716668 33.5847514, -101.8716091 33.5847817, -101.8713714 33.5849073, -101.8710290 33.5850859, -101.8709558 33.5851283)", Line 117,
"LINESTRING (-101.8717824 33.5846944, -101.8719117 33.5846936)", Line 118,
"LINESTRING (-101.8719128 33.5846041, -101.8719478 33.5846031, -101.8723892 33.5843580, -101.8724406 33.5843577, -101.8724406 33.5843134, -101.8724406 33.5842646, -101.8724312 33.5841582, -101.8724312 33.5839787, -101.8724307 33.5838816, -101.8724296 33.5836763, -101.8724353 33.5831318)", Line 119,
"LINESTRING (-101.8732941 33.5841528, -101.8732197 33.5841531, -101.8731414 33.5841546, -101.8727532 33.5841569, -101.8727010 33.5841572, -101.8726437 33.5841576, -101.8724312 33.5841582, -101.8721314 33.5841591, -101.8720059 33.5841595, -101.8716678 33.5841605, -101.8714947 33.5841610, -101.8713407 33.5841615)", Line 120,
"LINESTRING (-101.8727020 33.5842646, -101.8727013 33.5841872, -101.8727010 33.5841572, -101.8726986 33.5838816, -101.8726974 33.5837530)", Line 121,
