WKT,name,description
"POINT (-101.8848607 33.5819020)", Name 356 ,
"POINT (-101.8760976 33.5836492)", Name 357 ,
"POINT (-101.8739596 33.5889663)", Name 358 ,
"POINT (-101.8799917 33.5849646)", Name 359 ,
"POINT (-101.8768218 33.5816959)", Name 360 ,
"POINT (-101.8730833 33.5842581)", Name 361 ,
"POINT (-101.8855695 33.5820348)", Name 362 ,
"POINT (-101.8736527 33.5843485)", Name 363 ,
"POINT (-101.8802997 33.5878628)", Name 364 ,
"POINT (-101.8753250 33.5850153)", Name 365 ,
"POINT (-101.8810592 33.5816093)", Name 366 ,
"POINT (-101.8814134 33.5805701)", Name 367 ,
"POINT (-101.8814054 33.5810504)", Name 368 ,
"POINT (-101.8751775 33.5820484)", Name 369 ,
"POINT (-101.8795206 33.5885325)", Name 370 ,
"POINT (-101.8740209 33.5850214)", Name 371 ,
"POINT (-101.8786004 33.5831379)", Name 372 ,
"POINT (-101.8793482 33.5876269)", Name 373 ,
"POINT (-101.8820696 33.5871981)", Name 374 ,
"POINT (-101.8779063 33.5824658)", Name 375 ,
"POINT (-101.8760636 33.5783310)", Name 376 ,
"POINT (-101.8754223 33.5830112)", Name 377 ,
"POINT (-101.8792871 33.5808855)", Name 378 ,
"POINT (-101.8739061 33.5866812)", Name 379 ,
"POINT (-101.8756243 33.5822570)", Name 380 ,
"POINT (-101.8716680 33.5843511)", Name 381 ,
"POINT (-101.8747592 33.5852249)", Name 382 ,
"POINT (-101.8716311 33.5799234)", Name 383 ,
"POINT (-101.8816980 33.5809226)", Name 384 ,
"POINT (-101.8752925 33.5788205)", Name 385 ,
"POINT (-101.8792744 33.5808329)", Name 386 ,
"POINT (-101.8805787 33.5795410)", Name 387 ,
"POINT (-101.8737315 33.5845773)", Name 388 ,
"POINT (-101.8801158 33.5863858)", Name 389 ,
"POINT (-101.8748265 33.5843682)", Name 390 ,
"POINT (-101.8820721 33.5816306)", Name 391 ,
"POINT (-101.8781620 33.5894023)", Name 392 ,
"POINT (-101.8792536 33.5872174)", Name 393 ,
"POINT (-101.8719367 33.5795348)", Name 394 ,
"POINT (-101.8755771 33.5825450)", Name 395 ,
"POINT (-101.8809787 33.5852075)", Name 396 ,
"POINT (-101.8715423 33.5799329)", Name 397 ,
"POINT (-101.8751413 33.5858058)", Name 398 ,
"POINT (-101.8744795 33.5790755)", Name 399 ,
"POINT (-101.8741575 33.5849153)", Name 400 ,
"POINT (-101.8768765 33.5861186)", Name 401 ,
"POINT (-101.8719992 33.5801105)", Name 402 ,
"POINT (-101.8737984 33.5835979)", Name 403 ,
"POINT (-101.8804150 33.5888841)", Name 404 ,
"POINT (-101.8751674 33.5849485)", Name 405 ,
"POINT (-101.8730118 33.5819203)", Name 406 ,
"POINT (-101.8817417 33.5910064)", Name 407 ,
"POINT (-101.8722631 33.5865611)", Name 408 ,
"POINT (-101.8738892 33.5834459)", Name 409 ,
"POINT (-101.8767732 33.5807485)", Name 410 ,
"POINT (-101.8718292 33.5851284)", Name 411 ,
"POINT (-101.8797548 33.5829972)", Name 412 ,
"POINT (-101.8791572 33.5884277)", Name 413 ,
"POINT (-101.8735624 33.5792723)", Name 414 ,
"POINT (-101.8767859 33.5861126)", Name 415 ,
"POINT (-101.8780593 33.5792384)", Name 416 ,
"POINT (-101.8763567 33.5862070)", Name 417 ,
"POINT (-101.8789936 33.5791920)", Name 418 ,
"POINT (-101.8737847 33.5820870)", Name 419 ,
"POINT (-101.8801094 33.5920739)", Name 420 ,
"POINT (-101.8754202 33.5843476)", Name 421 ,
"POINT (-101.8792732 33.5890821)", Name 422 ,
"POINT (-101.8745371 33.5853014)", Name 423 ,
"POINT (-101.8787328 33.5872213)", Name 424 ,
"POINT (-101.8791561 33.5885371)", Name 425 ,
